Genotipos	NB	NF	MFF	ALT	CF	LF	CP
F1	58.89	62.68	5416.26	98.63	36.42	33.21	19.11
F2	60.80	61.35	4520.35	81.80	30.79	30.00	14.63
F3	68.50	57.29	3995.50	80.00	31.31	28.38	13.54
F4	49.76	64.82	5423.69	88.31	33.18	31.24	15.76
F5	67.10	69.40	5327.00	96.50	35.53	30.32	19.00
F6	75.25	76.93	4861.73	95.94	32.69	28.92	15.62
F7	61.63	70.32	5385.63	85.00	31.68	27.16	13.79
F8	38.74	74.30	5592.40	81.85	32.85	29.70	14.05
F9	49.82	71.76	4752.88	93.00	32.53	28.29	13.41
F10	68.21	66.00	4462.64	85.50	33.69	28.50	13.94
F11	73.12	66.65	3905.88	80.50	31.57	26.79	17.64
F12	29.87	67.73	4916.06	86.09	32.09	25.91	12.73
F13	63.60	74.83	5081.31	81.06	27.94	23.59	14.00
F14	42.00	68.44	5693.24	89.81	34.07	28.50	14.00
F15	56.79	67.89	5062.90	87.95	32.00	28.74	14.47
F16	50.30	59.60	4492.10	76.94	34.67	29.17	15.78
F17	61.69	63.25	5310.31	87.88	34.81	30.94	16.69
F18	63.78	80.72	5988.77	84.18	30.29	29.06	17.59
F19	50.00	70.24	5413.29	83.68	30.76	28.12	14.76
F20	59.95	66.75	5215.15	91.80	36.30	30.45	15.70
F21	60.59	56.76	4420.29	86.82	32.27	29.93	16.00
F22	30.33	62.06	5153.56	88.53	34.13	27.47	12.07
F23	68.11	66.50	4950.11	88.44	35.22	31.56	16.83
C1	52.33	74.72	5034.83	92.30	29.83	28.06	13.28
C2	10.06	110.88	5246.19	54.71	26.18	22.06	10.59
C3	1.47	126.56	5287.41	42.82	23.21	19.41	9.82
